inventor_id,name,patent_count
fl:sh_ln:yamazaki-55,Shunpei Yamazaki,6761
fl:ki_ln:silverbrook-1,Kia Silverbrook,4778
fl:ta_ln:luo-5,Tao Luo,4336
fl:jo_ln:ive-4,Jonathan P. Ive,2877
fl:ka_ln:cheng-90,Kangguo Cheng,2819
fl:ju_ln:li-39,Junyi Li,2789
fl:fr_ln:shelton-6,"Frederick E. Shelton, IV",2670
fl:pe_ln:gaal-1,Peter Gaal,2504
fl:du_ln:kerr-1,Duncan Robert Kerr,2466
fl:ba_ln:andre-6,Bartley K. Andre,2412
fl:ri_ln:howarth-2,Richard P. Howarth,2332
fl:wa_ln:chen-94,Wanshi Chen,2308
fl:eu_ln:whang-8,Eugene Antony Whang,2181
fl:xi_ln:zhang-214,Xiaoxia Zhang,2070
fl:lo_ln:wood-12,"Lowell L. Wood, JR.",1974
fl:ri_ln:zorkendorfer-1,Rico Zörkendörfer,1962
fl:ch_ln:yu-101,Chen-Hua Yu,1958
fl:pe_ln:russellclarke-2,Peter Russell-Clarke,1944
fl:ch_ln:stringer-5,Christopher J. Stringer,1899
fl:ro_ln:hyde-1,Roderick A. Hyde,1893
fl:es_ln:dinan-2,Esmael Hejazi Dinan,1856
fl:da_ln:deiuliis-4,Daniele De Iuliis,1814
fl:ha_ln:seo-57,Hanbyul Seo,1802
fl:ji_ln:sun-378,Jing Sun,1746
fl:ma_ln:rohrbach-2,Matthew Dean Rohrbach,1718
fl:jo_ln:akana-1,Jody Akana,1694
fl:da_ln:coster-2,Daniel J. Coster,1690
fl:je_ln:bataillou-1,Jeremy Bataillou,1648
fl:sh_ln:liu-861,Shan Liu,1626
fl:m._ln:hankey-2,M. Evans Hankey,1610
fl:ju_ln:koyama-9,Jun Koyama,1543
fl:sa_ln:rakshit-4,Sarbajit K. Rakshit,1468
fl:do_ln:weder-1,Donald E. Weder,1413
fl:gu_ln:sandhu-15,Gurtej S. Sandhu,1401
fl:yu_ln:yi-24,Yunjung Yi,1398
fl:ka_ln:zhang-58,Kai Zhang,1381
fl:ta_ln:suzuki-87,Takashi Suzuki,1332
fl:ju_ln:hoenig-2,Julian Hoenig,1331
fl:sh_ln:fan-7,Shou-Shan Fan,1312
fl:pa_ln:lapstun-1,Paul Lapstun,1300
fl:su_ln:yang-203,Suckchel Yang,1292
fl:al_ln:reznicek-1,Alexander Reznicek,1279
fl:sa_ln:seo-60,Satoshi Seo,1275
fl:sh_ln:aoyagi-2,Shota Aoyagi,1261
fl:li_ln:zhang-328,Li Zhang,1259
fl:cl_ln:tegreene-2,Clarence T. Tegreene,1253
fl:ju_ln:montojo-1,Juan Montojo,1230
fl:ki_ln:kim-330,Kijun Kim,1219
fl:ja_ln:harris-4,Jason L. Harris,1209
fl:jo_ln:ahn-92,Joonkui Ahn,1192
fl:ta_ln:nishi-7,Takahiro NISHI,1189
fl:se_ln:lee-1033,Seungmin LEE,1179
fl:ha_ln:xu-113,Hao Xu,1175
fl:ru_ln:xie-12,Ruilong Xie,1139
fl:ma_ln:karczewicz-1,Marta Karczewicz,1136
fl:be_ln:shaffer-4,Benjamin Andrew Shaffer,1135
fl:le_ln:forbes-2,Leonard Forbes,1114
fl:im_ln:chaudhri-1,Imran Chaudhri,1109
fl:ed_ln:jung-2,Edward K.Y. Jung,1091
fl:ti_ln:ji-2,Tingfang Ji,1090
fl:an_ln:ashcroft-3,Anthony Michael Ashcroft,1081
fl:ri_ln:hamilton-16,"Rick A. Hamilton, II",1068
fl:mi_ln:sullivan-5,Michael J. Sullivan,1061
fl:mi_ln:silvanto-3,Mikael Silvanto,1055
fl:so_ln:akkarakaran-1,Sony Akkarakaran,1054
fl:ja_ln:resch-1,Jason K. Resch,1050
fl:da_ln:hall-13,David R. Hall,1038
fl:ya_ln:zhou-61,Yan Zhou,1032
fl:da_ln:zhang-85,Dawei Zhang,1027
fl:ha_ln:kimura-18,Hajime Kimura,993
fl:jo_ln:kare-1,Jordin T. Kare,993
fl:ja_ln:walker-51,Jay S. Walker,986
fl:sh_ln:nishibori-2,Shin Nishibori,953
fl:ch_ln:wang-98,Chih-Hao Wang,938
fl:sa_ln:nagata-6,Satoshi Nagata,935
fl:wi_ln:eby-1,William H. Eby,931
fl:ho_ln:zhang-146,Hongyuan Zhang,909
fl:ky_ln:park-446,Kyungmin Park,907
fl:ch_ln:hwang-47,Chang-Hwan Hwang,906
fl:na_ln:myhrvold-2,Nathan P. Myhrvold,901
fl:hi_ln:suzuki-63,Hidetoshi Suzuki,893
fl:ch_ln:yang-76,Chih-Chao Yang,888
fl:ju_ln:mason-4,Justin T. Mason,885
fl:ma_ln:malamud-1,Mark A. Malamud,885
fl:st_ln:salter-6,Stuart C. Salter,873
fl:hu_ln:zhou-34,Hua Zhou,869
fl:ro_ln:lord-5,Robert W. Lord,866
fl:le_ln:whetsel-2,Lee D. Whetsel,865
fl:hi_ln:tanaka-101,Hiroshi Tanaka,862
fl:ho_ln:liu-27,Hongbin Liu,861
fl:hs_ln:chen-65,Hsien-Wei Chen,859
fl:ro_ln:levien-2,Royce A. Levien,858
fl:le_ln:zhang-33,Lei Zhang,856
fl:ak_ln:nishio-3,Akihiko Nishio,850
fl:mi_ln:gschwind-2,Michael K. Gschwind,848
fl:yu_ln:wang-778,Yue Wang,847
fl:hi_ln:suzuki-54,Hiroshi Suzuki,846
fl:yo_ln:lee-748,Youngdae Lee,845
fl:mu_ln:ishikawa-1,Muriel Y. Ishikawa,840
fl:al_ln:dye-5,Alan C. Dye,838
fl:cl_ln:pickover-2,Clifford A. Pickover,836
fl:hi_ln:yamamoto-86,Hiroshi Yamamoto,833
fl:ke_ln:suzuki-42,Kenji Suzuki,830
fl:de_ln:sadana-3,Devendra K. Sadana,827
fl:ho_ln:he-14,Hong He,820
fl:hi_ln:sato-76,Hiroshi Sato,814
fl:st_ln:lemay-2,Stephen O. Lemay,803
fl:le_ln:zhang-34,Lei Zhang,801
fl:le_ln:wang-45,Lei Wang,798
fl:hi_ln:watanabe-60,Hiroshi Watanabe,796
fl:xu_ln:dong-44,Xue Dong,792
fl:xi_ln:li-941,Xiang Li,789
fl:ja_ln:jorasch-1,James A. Jorasch,785
fl:ji_ln:lee-198,Jin Ho Lee,785
fl:xi_ln:zhao-277,Xin Zhao,781
fl:ak_ln:suzuki-23,Akira Suzuki,778
fl:wa_ln:farnworth-2,Warren M. Farnworth,778
fl:ye_ln:wang-81,Ye-Kui Wang,778
fl:sa_ln:tanaka-28,Satoshi Tanaka,777
fl:le_ln:wang-43,Lei Wang,775
fl:yu_ln:murakami-45,Yutaka Murakami,773
fl:hi_ln:tanaka-110,Hiroyuki Tanaka,772
fl:mo_ln:anderson-3,Molly Anderson,771
fl:ak_ln:yamamoto-18,Akira Yamamoto,768
fl:jo_ln:park-709,Jonghyun Park,768
fl:ka_ln:gulati-1,Kapil Gulati,768
fl:na_ln:abedini-1,Navid Abedini,768
fl:we_ln:zeng-35,Wei Zeng,768
fl:br_ln:doris-1,Bruce B. Doris,767
fl:sh_ln:sato-131,Shougo Sato,767
fl:yu_ln:zhang-278,Yushu Zhang,765
fl:so_ln:kim-423,Soenghun Kim,760
fl:je_ln:karaoguz-1,Jeyhan Karaoguz,758
fl:al_ln:khakifirooz-1,Ali Khakifirooz,757
fl:al_ln:babaei-1,Alireza Babaei,756
fl:to_ln:sugio-1,Toshiyasu SUGIO,752
fl:hi_ln:kobayashi-41,Hiroshi Kobayashi,751
fl:ka_ln:takeda-27,Kazuki Takeda,751
fl:hi_ln:ando-43,Hideo Ando,748
fl:je_ln:vasseur-6,Jean-Philippe Vasseur,748
fl:ma_ln:diebel-1,Markus Diebel,748
fl:ah_ln:rofougaran-1,Ahmadreza (Reza) Rofougaran,747
fl:hi_ln:inoue-61,Hiroshi Inoue,746
fl:ta_ln:sato-102,Takashi Sato,746
fl:ch_ln:liu-9,Chung-Shi Liu,745
fl:fr_ln:ware-7,Frederick A. Ware,740
fl:hi_ln:takahashi-77,Hiroshi Takahashi,739
fl:fa_ln:zhang-31,Fan Zhang,738
fl:se_ln:hosseini-11,Seyedkianoush Hosseini,738
fl:ji_ln:kang-187,Jiwon Kang,737
fl:jo_ln:santosuosso-3,John M. Santosuosso,735
fl:ji_ln:ma-280,Jianglei Ma,728
fl:ta_ln:toma-2,Tadamasa TOMA,728
fl:ga_ln:grube-2,Gary W. Grube,727
fl:hi_ln:nakamura-73,Hiroshi Nakamura,727
fl:sa_ln:akram-1,Salman Akram,727
fl:yo_ln:lee-746,Young Dae Lee,726
fl:ch_ln:wilson-49,Christopher Wilson,723
fl:ta_ln:zhang-22,Tao Zhang,722
fl:wo_ln:ko-7,Woosuk KO,722
fl:jh_ln:liaw-1,Jhon Jhy Liaw,720
fl:au_ln:gurney-1,Austin Gurney,719
fl:al_ln:ricoalvarino-2,Alberto Rico Alvarino,717
fl:hi_ln:takahashi-110,Hiroyuki Takahashi,717
fl:wa_ln:conrad-2,Wayne Ernest Conrad,708
fl:ja_ln:chung-75,Jae Hoon Chung,703
fl:ma_ln:vanos-3,Marcel van Os,703
fl:da_ln:imamura-3,Daichi Imamura,702
fl:mo_ln:olesen-4,Mogens Nyegaard Olesen,701
fl:te_ln:kondo-12,Tetsujiro Kondo,701
fl:bi_ln:wang-77,Bin Wang,698
fl:hi_ln:yoshida-59,Hiroshi Yoshida,697
fl:ta_ln:yamamoto-60,Takashi Yamamoto,697
fl:sh_ln:jeng-12,Shin-Puu Jeng,696
fl:ge_ln:spector-1,George Spector,694
fl:ga_ln:horn-5,Gavin Bernard Horn,693
fl:se_ln:han-126,Seung Hee Han,693
fl:xi_ln:chen-697,Xiaochuan Chen,693
fl:mo_ln:lee-46,Moon Il Lee,690
fl:ha_ln:sun-57,Haitong Sun,689
fl:hy_ln:jeon-131,Hyoungsuk Jeon,689
fl:al_ln:damnjanovic-1,Aleksandar Damnjanovic,688
fl:bi_ln:li-100,Bin Li,688
fl:cl_ln:tissandier-1,Clement Tissandier,683
fl:ir_ln:gerszberg-1,Irwin Gerszberg,682
fl:su_ln:park-363,Sung Jun Park,677
fl:ta_ln:nakamura-99,Takashi Nakamura,677
fl:hi_ln:ito-74,Hiroshi Ito,674
fl:we_ln:chen-175,Wei-Yu Chen,674
fl:se_ln:kim-831,Seunghwan KIM,671
fl:hu_ln:lou-7,Hui-Ling Lou,670
fl:wi_ln:wood-29,William I. Wood,667
fl:jo_ln:edwards-71,Joshua Edwards,666
fl:in_ln:choi-25,In Hwan Choi,665
fl:ro_ln:cok-1,Ronald S. Cok,665
fl:se_ln:kim-790,Seonwook KIM,665
fl:su_ln:chun-27,Sung Duck Chun,665
fl:se_ln:yi-37,Seung June Yi,664
fl:an_ln:baerlocher-1,Anthony J. Baerlocher,663
fl:hi_ln:suzuki-72,Hiroyuki Suzuki,660
fl:pa_ln:henry-8,Paul Shala Henry,658
fl:jo_ln:ahn-94,Joon Kui Ahn,656
